Event,Fighter1,Fighter2,event_date,f1_dob,f1_height,f1_reach,f1_stance,f2_dob,f2_height,f2_reach,f2_stance,fight_url,f1_url,f2_url
UFC Fight Night: Emmett vs. Vallejos,Josh Emmett,Kevin Vallejos,"March 14, 2026","Mar 04, 1985","5' 6""","70""",Orthodox,"Dec 08, 2001","5' 7""","68""",Switch,http://ufcstats.com/fight-details/f594fc5c2bc6237e,http://ufcstats.com/fighter-details/fba03cd6cc28dc41,http://ufcstats.com/fighter-details/239d8e5359022f3b
UFC Fight Night: Emmett vs. Vallejos,Amanda Lemos,Gillian Robertson,"March 14, 2026","May 22, 1987","5' 4""","65""",Southpaw,"May 17, 1995","5' 5""","63""",Orthodox,http://ufcstats.com/fight-details/3b7b771b9578383d,http://ufcstats.com/fighter-details/3df5493bb279226f,http://ufcstats.com/fighter-details/38c7f72747f4f712
UFC Fight Night: Emmett vs. Vallejos,Andre Fili,Jose Delgado,"March 14, 2026","Jun 25, 1990","5' 11""","74""",Orthodox,"Apr 21, 1998","5' 11""","74""",Switch,http://ufcstats.com/fight-details/8bee5192baec71d8,http://ufcstats.com/fighter-details/8fd808923cffff82,http://ufcstats.com/fighter-details/7d6ceff6747f2de2
UFC Fight Night: Emmett vs. Vallejos,Marwan Rahiki,Harry Hardwick,"March 14, 2026","May 10, 2002","5' 8""","72""",Orthodox,"Sep 29, 1994","5' 8""","71""",Switch,http://ufcstats.com/fight-details/e0acd0cf4930671b,http://ufcstats.com/fighter-details/6eedb757f13b9978,http://ufcstats.com/fighter-details/2dbc60c52de126d8
UFC Fight Night: Emmett vs. Vallejos,Ion Cutelaba,Oumar Sy,"March 14, 2026","Dec 14, 1993","6' 1""","75""",Southpaw,"Nov 21, 1995","6' 4""","83""",Orthodox,http://ufcstats.com/fight-details/db7694f4513120d5,http://ufcstats.com/fighter-details/cd13728ae1151f46,http://ufcstats.com/fighter-details/46e2011d92463b7e
UFC Fight Night: Emmett vs. Vallejos,Charles Johnson,Bruno Silva,"March 14, 2026","Jan 10, 1991","5' 9""","70""",Switch,"Mar 16, 1990","5' 4""","65""",Orthodox,http://ufcstats.com/fight-details/fc9168fd102e2e66,http://ufcstats.com/fighter-details/814e5233e2acf2ee,http://ufcstats.com/fighter-details/294aa73dbf37d281
UFC Fight Night: Emmett vs. Vallejos,Chris Curtis,Myktybek Orolbai,"March 14, 2026","Jul 15, 1987","5' 10""","75""",Orthodox,"Feb 10, 1998","5' 10""","74""",Orthodox,http://ufcstats.com/fight-details/f26c0bdf7689aea2,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3,http://ufcstats.com/fighter-details/bf2c8e01b07d3eb1
UFC Fight Night: Emmett vs. Vallejos,Vitor Petrino,Steven Asplund,"March 14, 2026","Aug 28, 1997","6' 2""","77""",Orthodox,"Jul 16, 1998","6' 5""","78""",Orthodox,http://ufcstats.com/fight-details/2c330a6f7f1e55f0,http://ufcstats.com/fighter-details/71171fc96445bf65,http://ufcstats.com/fighter-details/e56cee1ad697db04
UFC Fight Night: Emmett vs. Vallejos,Elijah Smith,SuYoung You,"March 14, 2026","Sep 05, 2002","5' 9""","71""",Orthodox,"Dec 11, 1995","5' 6""","65""",Orthodox,http://ufcstats.com/fight-details/f44b4e998b6829f6,http://ufcstats.com/fighter-details/7478b7f959ba61f5,http://ufcstats.com/fighter-details/a474aade8eb3a8f0
UFC Fight Night: Emmett vs. Vallejos,Bolaji Oki,Manoel Sousa,"March 14, 2026","Nov 15, 1995","5' 10""","73""",Orthodox,"Jun 04, 1997","5' 9""","70""",Orthodox,http://ufcstats.com/fight-details/c769dd861357af9f,http://ufcstats.com/fighter-details/4bdedbdeedff7d1d,http://ufcstats.com/fighter-details/5870c541798124ae
UFC Fight Night: Emmett vs. Vallejos,Brad Tavares,Eryk Anders,"March 14, 2026","Dec 21, 1987","6' 1""","74""",Orthodox,"Apr 21, 1987","6' 1""","75""",Southpaw,http://ufcstats.com/fight-details/cff81d681a01ae18,http://ufcstats.com/fighter-details/0c6d9ea8306c029e,http://ufcstats.com/fighter-details/cad24459b28592ca
UFC Fight Night: Emmett vs. Vallejos,Bia Mesquita,Montse Rendon,"March 14, 2026","Apr 07, 1991","5' 4""","67""",Orthodox,"Mar 16, 1989","5' 8""","68""",Orthodox,http://ufcstats.com/fight-details/8cab057e6549afd0,http://ufcstats.com/fighter-details/eff9074bc066f0f2,http://ufcstats.com/fighter-details/60193e707634e560
UFC Fight Night: Emmett vs. Vallejos,Luan Lacerda,Hecher Sosa,"March 14, 2026","Jan 07, 1993","5' 7""","71""",Orthodox,"Aug 25, 1995","5' 9""","70""",Orthodox,http://ufcstats.com/fight-details/32d371462c539bee,http://ufcstats.com/fighter-details/6fc506e1099afe20,http://ufcstats.com/fighter-details/ec3bd30378d63dd1
UFC Fight Night: Emmett vs. Vallejos,Piera Rodriguez,Sam Hughes,"March 14, 2026","Nov 11, 1992","5' 3""","63""",Orthodox,"Jun 28, 1992","5' 5""","64""",Orthodox,http://ufcstats.com/fight-details/244285b7fd0ddece,http://ufcstats.com/fighter-details/e375cb5caf4717b6,http://ufcstats.com/fighter-details/e94085e821bd81de
